Author,Quote
Friedrich Nietzsche,I know of no better life purpose than to perish in attempting the great and the impossible.
Eleanor Roosevelt,The future belongs to those who believe in the beauty of their dreams. 
Manly P. Hall,"Birth & Death, they are dreams; life is forever."
C.S. Lewis,You are never too old to set another goal or to dream a new dream.
Henry David Thoreau,Go confidently in the direction of your dreams! Live the life you've imagined.
Henry Ford,"Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young."
Isaac Asimov,"""The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom."""
Confucius,"""Real knowledge is to know the extent of one's ignorance."""
John Wheeler,"""As your island of knowledge grows, so too does the shoreline of ignorance."""
Richard Feynman,"""Students should be made to think, to doubt, to communicate, to question, to learn from their mistakes, and most importantly have fun in their learning."""
George Addair,Everything you've ever wanted is on the other side of fear.
Montaigne,A man who fears suffering is already suffering from what he fears.
Jesus Christ,"""Do not fear, only believe."""
Rosa Parks,"I have learned over the years that when one's mind is made up, this diminishes fear."
Marie Curie,Have no fear of perfection; you'll never reach it.
Arthur Shopenhauer,"""Always to see the general in the particular is the very foundation of genius."""
Henry David Thoreau,"If a man does not keep pace with his companions, perhaps it is because he hears a different drummer. Let him step to the music which he hears, however measured or far away."
Michelangelo,Genius is eternal patience.
Arthur Conan Doyle,“Mediocrity knows nothing higher than itself; but talent instantly recognizes genius.”
Jonathan Swift,"When a great genius appears in the world you may know him by this sign; that the dunces are all in confederacy against him."""
Arthur Rimbaud,Genius is the recovery of childhood at will.
Confucius,"""If you're the smartest person in the room, you're in the wrong room."""
John Lennon,Life is what happens when you're busy making other plans
Mark Twain,"""Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover."""
Carl Jung,How can I be substantial if I do not cast a shadow? I must have a dark side also if I am to be whole.
Raoul Vaneigem,"""Everything flows from the body."""
Charles Dickens,Love the life you live. Live the life you love
Mary Anne Radmacher,"Courage doesn't always roar. Sometimes it's the quiet voice at the end of the day whispering, 'I will try again tomorrow.'"""
Sydney J. Harris,"Happiness is a direction, not a place."
Hans Christian Andersen,Life itself is the most wonderful fairy tale.
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving."
Helen Keller,The best and most beautiful things in the world cannot be seen or even touched — they must be felt with the heart.
George Washington,The turning points of lives are not the great moments. The real crises are often concealed in occurences so trivial in appearance that they pass unobserved.
Malcolm X,"One of the first things I think young people, especially nowadays, should learn is how to see for yourself and listen for yourself and think for yourself. Then you can come to an intelligent decision for yourself."
Oscar Wilde,Never love anyone who treats you like you're ordinary.
Martin Luther King Jr.,"""I have decided to stick with love. Hate is too great a burden to bear."""
Dr. Seuss,You know you’re in love when you can’t fall asleep because reality is finally better than your dreams.
Aristotle,Knowing yourself is the beginning of all wisdom.
Max Planck,"When you change the way you look at things, the things you look at change."
Plato,"Be kind, for everyone you meet is fighting a harder battle."
